101
  -1  0.908902 -0.382508 -1.60219e-05 -0.000235165 0.00012842 -0.000221725 -0.000221725 0.00143437
  -0.98  0.908772 -0.382707 -2.93542e-05 -8.13112e-05 0.000270976 -8.20572e-05 -8.20572e-05 0.00183623
  -0.96  0.908634 -0.382922 -3.71371e-05 7.89716e-05 0.000425766 6.8045e-05 6.8045e-05 0.0022814
  -0.94  0.908488 -0.383147 -5.68696e-05 0.000240373 0.000607473 0.000224271 0.000224271 0.0027772
  -0.92  0.908321 -0.383328 -0.000135149 0.000304246 0.000625247 0.000302824 0.000302824 0.00330261
  -0.9  0.908079 -0.383587 -0.000176227 0.000201193 0.000447806 0.000226282 0.000226282 0.00387015
  -0.88  0.907745 -0.384039 -0.000119514 8.85974e-06 6.53213e-05 5.74577e-05 5.74577e-05 0.00429001
  -0.86  0.907894 -0.382833 -6.57557e-05 -7.39529e-05 -0.00177922 -2.90289e-05 -2.90289e-05 0.00331287
  -0.84  0.908554 -0.379832 -2.55381e-05 -0.000108967 -0.00487566 -8.42447e-05 -8.42447e-05 0.00111799
  -0.82  0.909218 -0.376702 2.76236e-05 -0.00017069 -0.00799879 -0.000162089 -0.000162089 -0.00112927
  -0.8  0.909895 -0.373426 4.63915e-05 -0.000184639 -0.0113516 -0.000188833 -0.000188833 -0.00353319
  -0.78  0.910598 -0.369953 3.88424e-05 -0.000326387 -0.0150141 -0.000317725 -0.000317725 -0.00617009
  -0.76  0.911367 -0.366159 0.000204902 -0.000409824 -0.0189768 -0.000382982 -0.000382982 -0.00906049
  -0.74  0.912184 -0.362109 0.000398127 -0.000291687 -0.0232165 -0.000271854 -0.000271854 -0.0121501
  -0.72  0.913105 -0.357603 0.00073805 -0.000203269 -0.0278345 -0.000191857 -0.000191857 -0.0155868
  -0.7  0.914135 -0.352633 0.000932117 -0.000170869 -0.0325707 -0.000167893 -0.000167893 -0.0191824
  -0.68  0.915268 -0.347235 0.000838518 -0.000197957 -0.0373367 -0.000190099 -0.000190099 -0.0228082
  -0.66  0.916491 -0.341455 0.000370065 -0.000165382 -0.0418179 -0.000147889 -0.000147889 -0.026258
  -0.64  0.917857 -0.335121 -6.51716e-05 -0.000172355 -0.0462874 -0.000130565 -0.000130565 -0.0297405
  -0.62  0.919345 -0.328307 -0.000195313 -0.000426616 -0.0510302 -0.00035505 -0.00035505 -0.0334567
  -0.6  0.920943 -0.321073 -0.000289851 -0.000577162 -0.0559396 -0.000521389 -0.000521389 -0.0373464
  -0.58  0.922712 -0.313205 -0.000375199 -0.000634861 -0.0607708 -0.000577223 -0.000577223 -0.0412692
  -0.56  0.924602 -0.304903 -0.000609125 -0.000247647 -0.0653921 -0.000238252 -0.000238252 -0.0450351
  -0.54  0.926589 -0.296239 -0.000850436 0.00011662 -0.0697725 7.2103e-05 7.2103e-05 -0.0486248
  -0.52  0.928766 -0.286918 -0.000763798 0.000337329 -0.0735556 0.00028568 0.00028568 -0.0517795
  -0.5  0.931067 -0.27718 -0.00073024 0.000454241 -0.0769555 0.000410182 0.000410182 -0.0546252
  -0.48  0.933453 -0.26715 -0.000711182 0.000365227 -0.0800577 0.000334358 0.000334358 -0.0572744
  -0.46  0.935957 -0.256724 -0.000813232 -3.07073e-05 -0.083016 -2.83575e-05 -2.83575e-05 -0.0598751
  -0.44  0.938556 -0.246014 -0.000492201 -0.000269331 -0.0852276 -0.000225379 -0.000225379 -0.0618956
  -0.42  0.94121 -0.235133 -0.000169765 -0.000358624 -0.0868223 -0.000325384 -0.000325384 -0.0633961
  -0.4  0.94396 -0.223956 -0.000173479 -0.000234099 -0.0878389 -0.00029433 -0.00029433 -0.064438
  -0.38  0.946787 -0.212576 -0.000188649 -0.000145446 -0.088396 -0.000239246 -0.000239246 -0.0651192
  -0.36  0.949636 -0.201158 -0.000261249 -0.000107288 -0.0885663 -0.0002066 -0.0002066 -0.0654752
  -0.34  0.952526 -0.189629 -0.000229217 -0.00018721 -0.0881495 -0.000267876 -0.000267876 -0.0653668
  -0.32  0.955457 -0.178031 -4.62739e-05 -0.000389107 -0.0873806 -0.00040588 -0.00040588 -0.0649772
  -0.3  0.958385 -0.166492 3.16427e-06 -0.000260751 -0.0863998 -0.000287574 -0.000287574 -0.0644082
  -0.28  0.961304 -0.155033 9.77109e-05 -5.77475e-05 -0.0851791 -0.000133412 -0.000133412 -0.0636395
  -0.26  0.964233 -0.143593 7.54487e-05 4.81697e-05 -0.0834138 -8.34269e-05 -8.34269e-05 -0.0624284
  -0.24  0.967154 -0.13223 -5.93962e-05 5.7019e-05 -0.0813613 -6.42423e-05 -6.42423e-05 -0.0609658
  -0.22  0.970051 -0.120993 -0.000120182 0.000177841 -0.0791752 6.32762e-05 6.32762e-05 -0.0593622
  -0.2  0.972924 -0.109885 -8.24706e-05 0.000198077 -0.0767814 0.00011373 0.00011373 -0.0575886
  -0.18  0.975765 -0.0989452 -7.37285e-05 0.000216288 -0.0742091 0.000152196 0.000152196 -0.0556895
  -0.16  0.978569 -0.0881815 2.17482e-06 0.000257193 -0.0714646 0.000187894 0.000187894 -0.0536593
  -0.14  0.981326 -0.0776377 2.7786e-05 0.000291067 -0.0686675 0.000205969 0.000205969 -0.0515943
  -0.12  0.983874 -0.0680041 -6.9726e-05 0.000152383 -0.0670407 0.000104376 0.000104376 -0.0503396
  -0.1  0.986248 -0.0591104 -0.000132949 -4.03918e-05 -0.0668573 -3.42008e-05 -3.42008e-05 -0.0500926
